Rank (Borda),Model,Zero-shot,Total Parameters (B),Mean (Task),Mean (TaskType),AngryTweetsClassification,BornholmBitextMining,DKHateClassification,DanFeverRetrieval,DanishPoliticalCommentsClassification,LccSentimentClassification,MassiveIntentClassification,MassiveScenarioClassification,NordicLangClassification,ScalaClassification,TV2Nordretrieval,TwitterHjerneRetrieval
71,voyageai/voyage-2,100,,50.41,44.32,48.91,21.47,62.74,37.93,30.8,43.67,49.44,58.04,54.6,50.11,87.74,59.47
72,omarelshehy/arabic-english-sts-matryoshka,-1,0.56,,,55.59,31.28,59.6,,40.6,57.33,62.9,68.41,37.51,50.67,80.03,17.37
73,Omartificial-Intelligence-Space/Arabic-labse-Matryoshka,-1,0.471,,,53.55,38.59,61.82,,40.37,59.07,59.68,66.47,33.59,50.23,79.35,27.9
74,FacebookAI/xlm-roberta-large,100,0.56,39.58,23.68,50.43,4.34,60.18,10.95,32.56,48.73,46.91,49.08,81.31,63.66,6.11,20.66
75,Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka,100,0.278,,,53.71,21.55,59.91,,40.22,58.13,64.33,70.08,43.02,50.26,78.34,33.22
76,deepvk/USER-bge-m3,100,0.359,,,56.91,42.44,,,37.99,63.0,61.91,69.11,40.53,50.38,92.86,21.39
77,McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,100,7.153,,,57.06,,,,38.39,52.0,65.62,68.66,69.53,52.35,82.17,18.22
78,KFST/XLMRoberta-en-da-sv-nb,-1,0.278,,,52.24,23.5,63.01,35.67,38.77,59.4,65.95,72.23,44.4,50.33,,
79,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,100,0.118,47.38,38.38,50.9,19.67,59.0,36.87,37.58,54.53,58.2,67.11,42.52,50.07,73.34,18.72
80,andersborges/model2vecdk,100,0.048,43.74,31.52,47.83,8.19,59.45,26.46,32.65,46.73,51.33,60.61,63.32,50.17,57.02,21.05
81,FacebookAI/xlm-roberta-base,100,0.278,38.08,22.64,52.31,4.42,56.78,9.02,34.07,52.4,40.46,43.27,79.35,60.52,5.28,19.06
82,ibm-granite/granite-embedding-278m-multilingual,100,0.278,,,49.31,40.54,58.27,,32.39,48.13,50.89,59.09,41.9,50.27,85.74,34.98
83,Gameselo/STS-multilingual-mpnet-base-v2,83,0.278,,,48.83,19.21,66.32,,37.81,51.8,60.02,65.92,37.67,50.17,74.89,40.04
84,sentence-transformers/static-similarity-mrl-multilingual-v1,100,0.108,46.61,46.89,43.64,47.98,49.24,35.97,27.81,41.13,53.67,56.52,51.18,50.11,77.32,24.82
85,andersborges/model2vecdk-stem,100,0.049,43.01,31.88,46.18,9.17,60.76,28.02,30.26,43.93,48.06,55.22,61.55,50.06,57.34,25.56
86,minishlab/potion-multilingual-128M,100,0.128,,,48.26,30.31,60.49,33.95,31.0,42.93,53.82,,49.62,50.17,74.29,37.21
87,intfloat/e5-large-v2,100,0.335,,,47.98,40.86,60.27,,29.08,45.87,45.63,54.68,59.82,50.21,73.56,8.53
88,Snowflake/snowflake-arctic-embed-m-v2.0,100,0.305,,,50.68,43.57,,,32.48,51.27,53.61,60.32,54.05,50.25,87.17,23.33
89,Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet,100,0.118,,,51.75,19.95,61.31,,37.93,53.73,59.07,65.87,39.48,50.01,73.54,27.17
90,McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,100,7.153,,,52.85,,,,33.51,49.47,55.13,56.31,69.32,52.78,71.69,6.81
91,intfloat/e5-base-v2,100,0.109,,,46.32,38.49,58.72,,28.84,38.07,43.59,51.93,60.79,50.08,71.48,39.63
92,ibm-granite/granite-embedding-107m-multilingual,100,0.107,,,48.36,38.56,56.35,,31.83,46.87,48.38,55.84,41.68,50.14,78.54,17.06
93,Jaume/gemma-2b-embeddings,100,2.506,,,50.4,1.28,59.39,,30.59,52.47,41.85,44.91,80.43,52.49,20.11,3.13
94,mixedbread-ai/mxbai-embed-large-v1,100,0.335,43.18,38.34,44.74,30.25,57.48,34.73,29.32,36.93,47.88,52.91,54.47,50.0,63.86,15.54
95,Cohere/Cohere-embed-english-v3.0,-1,,,,48.63,40.85,,,30.06,45.4,45.88,55.09,58.2,50.07,73.62,41.64
96,facebook/SONAR,100,,,,49.62,47.37,69.97,,37.59,54.27,62.03,67.76,48.4,,,
97,intfloat/e5-small-v2,100,0.033,,,44.21,40.0,58.91,,28.43,39.8,43.94,51.35,52.87,50.25,66.52,30.47
98,NovaSearch/jasper_en_vision_language_v1,100,1.565,,,61.54,55.59,,,38.26,63.47,,,58.53,,88.21,34.56
98,sdadas/mmlw-e5-large,100,0.56,,,45.98,27.95,59.88,,29.98,39.47,47.19,51.24,56.75,50.23,60.64,24.43
100,nomic-ai/nomic-embed-text-v1,100,0.137,,,46.23,48.41,58.51,,29.23,38.53,41.38,48.77,52.66,50.13,74.48,13.51
101,BidirLM/BidirLM-Omni-2.5B-Embedding,100,2.445,,,,56.63,,,,,76.5,79.38,68.54,53.53,,75.63
102,manu/sentence_croissant_alpha_v0.3,100,1.28,,,46.18,19.91,56.32,,27.62,41.4,52.43,56.72,58.47,50.32,71.41,7.46
103,BAAI/bge-large-en-v1.5,100,0.335,,,44.97,34.09,60.76,,29.79,38.27,40.66,50.92,55.07,50.21,69.85,14.73
104,intfloat/e5-base,100,0.109,,,45.07,40.09,58.63,,28.41,37.47,44.15,52.4,59.34,50.06,70.18,16.78
105,WhereIsAI/UAE-Large-V1,100,0.335,,,44.66,33.06,57.33,,29.23,36.67,48.63,53.25,54.21,50.29,66.25,13.12
106,manu/sentence_croissant_alpha_v0.2,100,1.28,,,46.15,24.69,57.9,,27.43,42.6,51.91,55.85,58.8,50.12,67.64,7.27
107,Alibaba-NLP/gte-multilingual-base,100,0.305,,,53.97,44.33,,,37.65,55.87,,,34.01,50.11,94.13,68.92
108,Cohere/Cohere-embed-english-light-v3.0,-1,,,,43.3,33.82,57.33,,29.0,37.13,46.18,53.19,55.1,50.06,72.49,32.42
109,nomic-ai/nomic-embed-text-v1-unsupervised,100,0.137,,,44.11,38.75,58.36,,28.66,36.27,45.98,52.13,53.71,50.07,79.2,14.51
110,sdadas/mmlw-e5-base,100,0.278,,,45.0,24.2,59.54,,30.29,41.07,46.45,49.45,58.14,50.1,43.7,18.52
111,dwzhu/e5-base-4k,100,0.112,,,45.42,37.44,56.72,,28.73,36.73,50.55,53.59,59.99,50.02,63.55,6.44
112,abhinand/MedEmbed-small-v0.1,100,0.033,,,42.87,32.65,59.48,,28.62,41.0,42.75,50.45,51.16,50.24,57.77,16.8
113,infgrad/stella-base-en-v2,-1,0.109,,,44.4,35.39,54.38,,30.08,41.67,42.77,49.39,51.98,50.2,61.04,9.71
114,Snowflake/snowflake-arctic-embed-l,100,0.335,,,44.36,26.27,60.12,,25.49,43.0,41.68,51.97,55.25,50.18,74.57,7.39
115,deepfile/embedder-100p,-1,0.278,,,46.84,19.81,56.78,,30.51,41.53,45.25,51.62,50.46,50.7,31.78,3.72
116,nomic-ai/nomic-embed-text-v1.5,100,0.137,,,46.48,47.47,59.06,,28.72,38.13,39.06,46.69,51.64,50.13,65.18,6.74
116,microsoft/harrier-oss-v1-27b,75,27.009,,,,77.05,,,,,82.56,,95.78,90.0,,90.21
118,manu/sentence_croissant_alpha_v0.4,100,1.28,,,45.69,16.54,53.56,,27.58,42.0,51.45,55.92,56.65,50.17,69.76,8.46
119,tencent/KaLM-Embedding-Gemma3-12B-2511,58,11.766,,,,71.88,,,,,82.2,,93.84,86.23,,90.4
120,avsolatorio/NoInstruct-small-Embedding-v0,-1,0.033,,,43.36,30.35,61.67,,28.62,38.6,51.08,52.93,53.74,50.03,61.01,11.56
120,sdadas/mmlw-e5-small,100,0.118,,,46.51,22.05,61.55,,30.56,42.13,42.17,45.56,51.98,50.22,43.5,8.02
120,cointegrated/LaBSE-en-ru,100,0.129,,,46.23,37.36,56.02,,30.4,44.53,38.05,43.79,38.84,50.7,50.46,9.29
123,bigscience/sgpt-bloom-7b1-msmarco,-1,7.068,,,44.23,25.51,54.68,,27.94,36.27,51.23,53.52,57.71,50.7,30.84,11.58
124,openai/text-embedding-ada-002,-1,,,,56.65,41.31,65.44,,40.4,61.67,61.1,,,,,
125,sdadas/mmlw-roberta-base,100,0.124,,,42.7,31.72,58.51,,28.56,38.07,49.34,50.4,49.62,50.37,44.49,22.75
126,sergeyzh/LaBSE-ru-turbo,100,0.129,,,46.87,37.59,56.57,,30.36,48.0,39.18,47.67,46.52,50.28,47.55,3.55
127,ibm-granite/granite-embedding-125m-english,100,0.125,,,43.33,42.49,55.02,,28.97,39.4,41.73,49.85,48.47,50.32,59.59,5.92
128,BAAI/bge-base-en-v1.5,100,0.109,,,43.69,27.6,56.9,,29.44,40.33,40.66,48.37,53.43,50.1,68.86,31.51
129,Snowflake/snowflake-arctic-embed-s,100,0.033,,,42.2,25.3,61.22,,28.15,41.8,42.18,49.93,51.28,50.13,72.16,17.93
130,BAAI/bge-small-en-v1.5,100,0.033,,,43.31,33.92,60.15,,28.74,38.53,43.25,50.58,52.02,50.0,61.67,27.25
131,Octen/Octen-Embedding-8B,100,7.567,,,,76.03,,,,,82.44,,91.92,57.02,,81.03
132,thenlper/gte-large,-1,0.335,,,43.81,33.96,57.6,,28.27,37.6,39.81,50.5,55.39,50.05,71.49,23.33
133,intfloat/e5-large,100,0.335,,,46.1,40.15,,,28.67,42.07,42.26,52.27,58.3,49.86,75.22,8.66
134,NovaSearch/stella_en_400M_v5,100,0.435,,,50.08,45.0,,,29.71,44.27,36.75,51.97,49.15,49.96,62.6,27.67
135,Mihaiii/gte-micro-v4,-1,0.019,,,40.65,35.39,56.72,,27.45,39.0,50.06,51.43,54.85,50.18,32.9,15.35
136,shibing624/text2vec-base-multilingual,100,0.118,,,48.59,17.43,,,36.55,51.93,56.81,62.75,38.13,50.03,65.76,18.69
137,nvidia/llama-embed-nemotron-8b,100,7.505,,,,65.48,,,,,80.45,,84.25,65.31,,81.39
138,google/embeddinggemma-300m,100,0.308,,,,34.63,,,,,71.22,81.78,65.56,51.17,,72.04
139,avsolatorio/GIST-small-Embedding-v0,83,0.033,,,43.47,31.13,61.06,,27.97,40.67,42.16,49.25,51.45,50.02,62.55,15.08
140,Mihaiii/Ivysaur,-1,0.023,,,39.66,34.41,57.08,,27.45,37.93,50.99,52.74,52.26,50.19,63.42,11.28
141,sdadas/mmlw-roberta-large,100,0.435,,,42.73,30.17,57.26,,29.35,35.13,48.75,51.53,49.67,50.15,55.22,22.68
142,avsolatorio/GIST-Embedding-v0,83,0.109,,,43.39,27.6,57.99,,28.64,40.73,40.48,48.79,53.01,50.1,65.55,13.8
143,Mihaiii/Bulbasaur,-1,0.017,,,41.41,35.52,54.77,,27.49,39.93,50.39,51.58,56.46,50.07,42.16,11.57
144,microsoft/harrier-oss-v1-0.6b,75,0.596,,,,69.28,,,,,70.83,,93.57,71.59,,64.34
145,intfloat/e5-small,100,0.033,,,43.58,40.27,,,28.38,40.27,41.16,49.02,53.5,50.12,67.95,19.15
146,thenlper/gte-small,-1,0.033,,,42.49,31.12,57.99,,28.05,39.27,42.55,50.21,52.88,50.01,68.07,13.35
147,BidirLM/BidirLM-1.7B-Embedding,100,1.721,,,,53.07,,,,,75.62,,70.03,53.75,,77.89
147,BidirLM/BidirLM-1B-Embedding,100,1.0,,,,48.07,,,,,73.66,,76.61,53.21,,79.15
149,Bytedance/Seed1.6-embedding-1215,91,,,,,68.94,,,,,72.45,,91.72,51.45,,65.16
149,ai-sage/Giga-Embeddings-instruct-10B-A1.8B-0826,-1,10.476,,,,57.95,,,,,81.35,,68.92,51.32,,78.24
151,izhx/udever-bloom-7b1,100,,,,46.55,17.86,,,28.83,40.13,47.02,45.32,61.49,50.78,15.56,3.12
152,Mihaiii/Wartortle,100,0.017,,,43.49,35.27,54.07,,27.06,37.87,43.29,48.85,57.51,50.21,56.98,2.26
153,Snowflake/snowflake-arctic-embed-m-long,100,0.137,,,43.69,30.49,60.0,,27.33,40.27,40.46,48.37,48.13,50.16,49.33,11.56
154,Mihaiii/Venusaur,-1,0.016,,,42.14,35.0,53.19,,27.16,40.27,50.52,51.05,57.51,49.97,51.07,6.97
155,microsoft/harrier-oss-v1-270m,75,0.268,,,,67.01,,,,,65.8,,91.4,61.17,,60.13
156,avsolatorio/GIST-large-Embedding-v0,83,0.335,,,43.24,29.39,58.39,,28.3,35.93,40.62,50.78,54.81,49.91,66.56,15.06
157,jinaai/jina-embeddings-v5-omni-small,-1,1.626,,,,77.98,,,,,87.9,,88.12,50.27,,71.54
157,jinaai/jina-embeddings-v5-text-small,-1,0.596,,,,77.98,,,,,87.9,,88.12,50.27,,71.54
159,nomic-ai/nomic-embed-text-v1-ablated,100,0.137,,,44.98,46.37,,,28.86,37.67,42.69,49.78,53.47,50.14,,30.22
160,ai-sage/Giga-Embeddings-instruct-3B-0826,-1,3.151,,,,53.7,,,,,80.9,,63.79,51.26,,77.05
160,sentence-transformers/all-mpnet-base-v2,100,0.109,,,44.13,27.44,,28.26,28.31,39.27,41.43,48.41,50.15,49.91,42.01,14.89
162,thenlper/gte-base,-1,0.109,,,42.55,32.16,56.9,,27.93,39.27,40.49,48.92,53.57,49.94,69.58,7.87
163,Snowflake/snowflake-arctic-embed-m,100,0.109,,,44.39,28.69,57.84,,26.39,38.73,37.96,44.34,51.19,50.12,70.08,8.05
163,sentence-transformers/all-MiniLM-L12-v2,100,0.033,,,42.87,35.25,,30.59,27.07,41.93,44.03,,54.17,50.0,50.73,6.62
163,sentence-transformers/all-MiniLM-L6-v2,100,0.023,,,42.48,29.68,,28.51,26.7,38.53,40.34,45.85,54.7,50.11,34.11,9.81
166,aari1995/German_Semantic_STS_V2,-1,0.336,,,43.18,21.17,50.79,,28.84,42.0,45.38,49.39,52.81,50.09,35.01,4.07
167,avsolatorio/GIST-all-MiniLM-L6-v2,83,0.023,,,41.66,33.92,57.36,,25.88,38.93,40.42,47.55,51.45,50.22,55.28,6.13
168,ibm-granite/granite-embedding-30m-english,100,0.03,,,42.08,34.73,55.56,,27.99,37.6,39.61,47.57,51.36,50.19,57.3,5.74
169,jinaai/jina-embeddings-v5-omni-nano,-1,0.986,,,,77.12,,,,,86.66,,88.17,50.08,,74.02
169,jinaai/jina-embeddings-v5-text-nano,-1,0.212,,,,77.12,,,,,86.66,,88.17,50.08,,74.02
171,BidirLM/BidirLM-0.6B-Embedding,100,0.596,,,,46.93,,,,,69.27,,60.7,51.84,,67.88
172,ICT-TIME-and-Querit/BOOM_4B_v1,100,4.022,,,,54.91,,,,,71.11,,65.14,50.31,,75.32
173,ICT-TIME-and-Querit/ICT-TIME-and-Querit-embedding-v1,100,4.022,,,,47.98,,,,,70.62,,65.39,50.36,,75.67
174,izhx/udever-bloom-3b,100,3.003,,,44.86,10.75,,,27.88,36.93,41.77,42.08,59.82,50.67,14.06,12.9
175,Mihaiii/Squirtle,100,0.016,,,42.92,33.53,53.34,,27.1,39.13,41.56,47.38,55.35,49.98,51.98,2.43
176,deepvk/USER-base,100,0.427,,,46.11,34.8,56.44,,28.0,37.6,35.23,41.88,45.21,50.2,41.84,1.92
177,brahmairesearch/slx-v0.1,-1,0.023,,,42.48,29.68,55.08,,26.7,38.53,40.34,45.85,54.7,50.11,34.11,9.81
178,Mihaiii/gte-micro,-1,0.017,,,42.46,32.07,55.17,,27.09,42.8,38.84,46.51,53.81,49.96,9.69,12.19
179,google/text-multilingual-embedding-002,100,,,,,41.62,,,,,68.2,,53.58,51.73,,91.26
180,deepvk/deberta-v1-base,100,0.124,,,42.98,14.11,54.92,,28.36,40.87,32.65,32.31,57.91,50.32,1.06,1.08
181,sergeyzh/rubert-tiny-turbo,100,0.029,,,44.74,42.96,55.14,,27.44,36.2,33.1,42.41,49.9,50.05,16.5,1.68
182,minishlab/M2V_base_glove_subword,100,0.103,,,40.28,26.57,47.33,,25.14,37.8,44.96,45.03,61.03,50.09,49.09,1.78
183,minishlab/M2V_base_output,100,0.008,,,39.83,22.62,47.54,,24.7,35.2,43.61,43.32,59.37,50.19,45.54,2.04
184,Snowflake/snowflake-arctic-embed-xs,100,0.023,,,41.6,26.49,59.0,,25.64,37.27,39.32,45.85,49.52,50.08,49.09,6.9
